crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,price,source_period,source_file
2012-2013,2012,August,12,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1085.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,Composite Price,,raw_sugar,PHP/LKg,1520.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,Molasses,,molasses,PHP/MT,6255.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2013-2014,2013,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,706.67,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1462.33,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,738.92,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,Composite Price,,raw_sugar,PHP/LKg,1360.41,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,Molasses,,molasses,PHP/MT,5659.77,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,784.19,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1434.3,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""D"" World Market","""D""",raw_sugar,PHP/LKg,829.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,Composite Price,,raw_sugar,PHP/LKg,1348.69,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,Molasses,,molasses,PHP/MT,6040.82,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,771.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1465.37,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""D"" World Market","""D""",raw_sugar,PHP/LKg,814.58,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,Composite Price,,raw_sugar,PHP/LKg,1373.39,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,Molasses,,molasses,PHP/MT,6349.94,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,742.77,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1430.07,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""D"" World Market","""D""",raw_sugar,PHP/LKg,777.07,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,Composite Price,,raw_sugar,PHP/LKg,1337.96,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,Molasses,,molasses,PHP/MT,6084.58,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,792.09,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1336.53,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,773.91,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,Composite Price,,raw_sugar,PHP/LKg,1237.08,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,Molasses,,molasses,PHP/MT,5846.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,751.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1363.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,778.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,Composite Price,,raw_sugar,PHP/LKg,1255.43,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,February,6,Molasses,,molasses,PHP/MT,5552.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,712.4,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1378.4,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,778.8,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,Composite Price,,raw_sugar,PHP/LKg,1263.83,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,March,7,Molasses,,molasses,PHP/MT,5586.4,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
