crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2011-2012,2011,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,1457.72,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,1919.02,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,1632.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,40.34,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,46.76,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,43.16,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,1435.68,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,1864.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,1607.19,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,38.95,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,45.41,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,41.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,1393.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,1772.96,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,November,3,monthly_average,wholesale,washed_sugar,PHP/LKg,1536.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,retail_wet_market,raw_sugar,PHP/kg,38.35,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,retail_wet_market,refined_sugar,PHP/kg,44.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,retail_wet_market,washed_sugar,PHP/kg,40.89,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,wholesale,raw_sugar,PHP/LKg,1397.61,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,wholesale,refined_sugar,PHP/LKg,1814.29,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,December,4,monthly_average,wholesale,washed_sugar,PHP/LKg,1530.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,retail_wet_market,raw_sugar,PHP/kg,37.76,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,retail_wet_market,refined_sugar,PHP/kg,43.92,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,retail_wet_market,washed_sugar,PHP/kg,40.1,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,wholesale,raw_sugar,PHP/LKg,1390.57,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,wholesale,refined_sugar,PHP/LKg,1838.16,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,January,5,monthly_average,wholesale,washed_sugar,PHP/LKg,1537.4,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,February,6,monthly_average,retail_wet_market,raw_sugar,PHP/kg,36.72,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,February,6,monthly_average,retail_wet_market,refined_sugar,PHP/kg,43.31,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,February,6,monthly_average,retail_wet_market,washed_sugar,PHP/kg,39.05,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
