crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2012-2013,2012,September,1,Molasses,,molasses,PHP/MT,"5,665.38",reported,5665.38,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,877.96,reported,877.96,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,374.11",reported,1374.11,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,"""D"" World Market","""D""",raw_sugar,PHP/LKg,875.11,reported,875.11,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,Composite Price,,raw_sugar,PHP/LKg,"1,284.58",reported,1284.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,Molasses,,molasses,PHP/MT,"6,370.20",reported,6370.2,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,779.75,reported,779.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,307.02",reported,1307.02,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,"""D"" World Market","""D""",raw_sugar,PHP/LKg,788.21,reported,788.21,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,Composite Price,,raw_sugar,PHP/LKg,"1,212.79",reported,1212.79,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,Molasses,,molasses,PHP/MT,"5,380.38",reported,5380.38,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,777.41,reported,777.41,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,297.31",reported,1297.31,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,"""D"" World Market","""D""",raw_sugar,PHP/LKg,795.09,reported,795.09,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,Composite Price,,raw_sugar,PHP/LKg,"1,205.14",reported,1205.14,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,Molasses,,molasses,PHP/MT,"5,619.31",reported,5619.31,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,275.19",reported,1275.19,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,273.04",reported,1273.04,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
