crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2017-2018,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,162793.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,125688.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,142395.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,146319.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,132245.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,153946.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,195720.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,268522.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,195341.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,210312.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
