crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2013-2014,April,8,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2148.88,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,April,8,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,41.03,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,April,8,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,44.34,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,April,8,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,48.48,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1829.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2025.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2269.94,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,42.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,45.76,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,May,9,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,49.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1830.25,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2050.78,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2299.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,43.66,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.09,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,June,10,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,50.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1819.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2050.94,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2298.88,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.65,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,July,11,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.31,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
