crop_year,month,month_order,product_type,metric,unit,value_lkg,value_mt,source_period,source_file
2019-2020,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1211885.0,60594.25,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,February,6,refined_sugar,refined_sugar_withdrawals,LKg,976910.0,48845.5,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1965441.0,98272.05,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1733173.0,86658.65000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1779645.0,88982.25,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1391419.0,69570.95,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1945655.0,97282.75,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1545205.0,77260.25,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,April,8,refined_sugar,refined_sugar_withdrawals,LKg,783729.0,39186.450000000004,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1165581.0,58279.05,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,April,8,refined_sugar,refined_sugar_withdrawals,LKg,2549053.0,127452.65000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,April,8,refined_sugar,refined_sugar_withdrawals,LKg,2032763.0,101638.15000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1240253.0,62012.65,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1202735.0,60136.75,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1856270.0,92813.5,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1792381.0,89619.05,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1200758.0,60037.9,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,June,10,refined_sugar,refined_sugar_withdrawals,LKg,2062674.0,103133.70000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1712528.0,85626.40000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1810192.0,90509.6,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1380246.0,69012.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1522326.0,76116.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2133248.0,106662.40000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2062981.0,103149.05,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1510273.0,75513.65000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1468424.0,73421.2,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1291693.0,64584.65,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1837479.0,91873.95000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2024-2025,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1044575.0,52228.75,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,September,1,refined_sugar,refined_sugar_withdrawals,LKg,367692.0,18384.600000000002,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,September,1,refined_sugar,refined_sugar_withdrawals,LKg,653106.0,32655.300000000003,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,September,1,refined_sugar,refined_sugar_withdrawals,LKg,935489.0,46774.450000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1197172.0,59858.600000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,October,2,refined_sugar,refined_sugar_withdrawals,LKg,946186.0,47309.3,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,October,2,refined_sugar,refined_sugar_withdrawals,LKg,716481.0,35824.05,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1297513.0,64875.65,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1127305.0,56365.25,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1081328.0,54066.4,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
